id,rating,create_date,question_id,version_id,user_id,manuscript_id,manuscript_DOI
1,4.33,11/4/2016 23:32,1,1,48,1,10.1152/jn.01366.2006
2,3.06,11/4/2016 23:32,2,1,48,1,10.1152/jn.01366.2006
3,1.21,11/4/2016 23:32,3,1,48,1,10.1152/jn.01366.2006
4,5,11/4/2016 23:32,4,1,48,1,10.1152/jn.01366.2006
5,4.33,11/4/2016 23:32,1,1,48,1,10.1152/jn.01366.2006
6,3.06,11/4/2016 23:32,2,1,48,1,10.1152/jn.01366.2006
7,1.21,11/4/2016 23:32,3,1,48,1,10.1152/jn.01366.2006
8,5,11/4/2016 23:32,4,1,48,1,10.1152/jn.01366.2006
9,3.79,11/5/2016 17:15,1,1,111,2,10.1016/j.neuron.2015.08.026
10,3.86,11/5/2016 17:15,2,1,111,2,10.1016/j.neuron.2015.08.026
11,4.28,11/5/2016 17:15,3,1,111,2,10.1016/j.neuron.2015.08.026
12,5,11/5/2016 17:15,4,1,111,2,10.1016/j.neuron.2015.08.026
13,3.79,11/5/2016 17:15,1,1,111,2,10.1016/j.neuron.2015.08.026
14,3.86,11/5/2016 17:15,2,1,111,2,10.1016/j.neuron.2015.08.026
15,4.28,11/5/2016 17:15,3,1,111,2,10.1016/j.neuron.2015.08.026
16,5,11/5/2016 17:15,4,1,111,2,10.1016/j.neuron.2015.08.026
17,3.79,11/5/2016 17:16,1,1,111,2,10.1016/j.neuron.2015.08.026
18,3.86,11/5/2016 17:16,2,1,111,2,10.1016/j.neuron.2015.08.026
19,4.28,11/5/2016 17:16,3,1,111,2,10.1016/j.neuron.2015.08.026
20,5,11/5/2016 17:16,4,1,111,2,10.1016/j.neuron.2015.08.026
21,3.43,11/7/2016 1:45,1,1,48,3,10.1038/mp.2011.31
22,2.45,11/7/2016 1:45,2,1,48,3,10.1038/mp.2011.31
23,1.21,11/7/2016 1:45,3,1,48,3,10.1038/mp.2011.31
24,4.32,11/7/2016 1:45,4,1,48,3,10.1038/mp.2011.31
25,3.36,11/7/2016 2:08,1,1,48,3,10.1038/mp.2011.31
26,2.06,11/7/2016 2:08,2,1,48,3,10.1038/mp.2011.31
27,3.85,11/7/2016 2:08,3,1,48,3,10.1038/mp.2011.31
28,4.32,11/7/2016 2:08,4,1,48,3,10.1038/mp.2011.31
29,3.36,11/7/2016 2:08,1,1,48,3,10.1038/mp.2011.31
30,2.06,11/7/2016 2:08,2,1,48,3,10.1038/mp.2011.31
31,3.85,11/7/2016 2:08,3,1,48,3,10.1038/mp.2011.31
32,4.32,11/7/2016 2:08,4,1,48,3,10.1038/mp.2011.31
